P.,"Travelling fees: (a)  Where, in cases of emergency, a practitioner was called out from his residence or rooms to a patient's home or the hospital, travelling fees can be charged according to the section on travelling expenses (section IV) if he had to travel more than 16 kilometres in total. (b) If more than one patient would be attended to during the course of a trip, the full travelling expenses must be divided between the relevant patients. (c) A practitioner is not entitled to charge for any travelling expenses or travelling time to his rooms. (d) Where a practitioner's residence would be more than 8 kilometres away from a hospital, no travelling fees may be charged for services rendered at such hospitals, except in cases of emergency (services not voluntarily scheduled). (e) Where a practitioner conducts an itinerant practice, he is not entitled to charge fees for travelling expenses except in cases of emergency (services not voluntarily scheduled). (f) For voluntarily scheduled services, fees for travelling expenses may only be charged where the patient and the practitioner have entered into an agreement to this effect.  Medical scheme benefits will not be applicable in such instances.",,
Q.,"Intensive care/High Care:  Units in respect of items 1204 to 1210 (Categories 1 to 3) INCLUDE the following: 
(a) Performing and interpretation of a resting ECG.  
(b) Interpretation of blood gases, chemistry tests and x-rays.  
(c) Intravenous treatment (items 0206 and 0207), except intravenous infusion in patients under the age of three years (item 0205) that does not form a part of the daily ICU/High Care item. Item 0205 may be added on a daily basis (the item includes the introduction of the cannula as well as the daily management)

but EXCLUDE the following:  
(d) Anaesthetic and or surgical fees for any condition or procedure, as well as a first consultation/visit, which is regarded as the assessment of the patient. The daily ICU/High Care items cover the daily care in the ICU/High Care unit.  
(e) Cost of any drugs and/or materials.  
(f) Any other cost which may be incurred before, during or after the consultation/visit and/or the therapy.  
(g) Procedural items 1202 and 1212 to 1221.  ",,
R.,"Multiple organ failure:  Units for items 1208, 1209 and 1210 (Category 3:  Cases with multiple organ failure) include resuscitation (i.e. item 1211:  Cardio-respiratory resuscitation)",,
S.,"Ventilation:  Units for items 1212, 1213 and 1214 (ventilation) include the following:  (a) Measurement of minute volume, vital capacity, time- and vital capacity studies.  (b) Testing and connecting the machine.  (c) Putting patient on machine: setting machine, synchronising patient with machine.  (d) Instruction to nursing staff.  (e) All subsequent visits for 24 hours.",,
T.,"Ventilation (items 1212 to 1214) does not form a part of normal post-operative care, but may not be added to item 1204:  Catogory 1:  Cases requiring intensive monitoring",,
U.,"Obstetric procedures:  (a) When a general practitioner treats a patient in the ante-natal period and, after starting the confinement, requests an obstetrician to take over the case, the general practitioner shall be entitled to charge for all the ante-natal consultations he/she has performed.  (i) If the patient has been in labour for less than 6 hours, the general practitioner shall charge 50,00 clinical procedure units according to item 2614:  Global obstetric care.  (ii) If the patient has been in labour for more than 6 hours, the general practitioner shall charge 80,00 clinical procedure units according to item 2614:  Global obstetric care.  (b) When a general practitioner calls an obstetrician to help with a confinement, take over the management of a confinement, and treats the patient until after the post-partum visit, the obstetrician shall charge according to item 2614: Global obstetric care.  (c) When a general practitioner calls an obstetrician (specialist or general practitioner) to help with a confinement, or take over the management of a confinement, but the general practitioner treats the patient until after the post-partum visit, the obstetrician shall charge according to item 2616:  Intrapartum obstetric care by obstetrician in consultation, and the general practitioner according to item 2614:  Global obstetric care.",,
V.,"(a) Electro-convulsive treatment:  Visits at hospital or nursing home during a course of electro-convulsive treatment are justified and may be charged for in addition to the fees for the procedure. (b) Except where otherwise indicated, the duration of a medical psychotherapeutic session is set at 20 minutes or part thereof, provided that such a part comprises 50% or more of the time of a session.  This set duration is also applicable for psychiatric examination methods",,
Y.,"DISCONTINUED 2016: Rule Y [Contrast material: Except where otherwise indicated, radiologists are entitled to charge for contrast material used] has been discontinued",,
Z.,DISCONTINUED 2016: Rule Z [No fee is subject to more than one reduction] has been discontinued,,
AA.,Procedures to exclude cost of isotope,,
BB.,The fees in this section (radiation oncology) do NOT include the cost of radium or isotopes,,
CC.,"Acupuncture:   (a)  When two separate acupuncture techniques are used, each treatment shall be regarded as a separate treatment for which fees may be charged for separately.  (b) Not more than two separate techniques may be charged for at each session.  (c) The maximum number of acupuncture treatments per course to be charged for is limited to 20.  If further treatment is required at the end of this period of treatment, it should be negotiated with the patient.  (d) Item 0380 refers to scalp acupuncture as a treatment in its own right and not to the use of acupuncture points on the scalp",,
EE.,"Ultrasound examinations: The international norm approved for use in South Africa for NORMAL PREGNANCY is two ultrasound exams:  (a) The first scan should preferably include a nuchal thickness estimation and be performed between 10 and 14 weeks gestation.  The second scan should be performed between 20 and 24 weeks and should include a full anatomical report.  All subsequent ultrasound scans are excluded from the benefits of medical schemes unless accompanied by proper motivation. An ultrasound scan to assess an abnormal early pregnancy may be formed before 10 weeks but this scan may not be used to diagnose a normal uncomplicated pregnancy. Item 3618 is a gynaecological scan and its use is not approved for use in pregnancy.  (b) In cases where the scan is performed by the attending practitioner, a clear indication for such a scan must be entered on the account rendered, or a letter of motivation must be attached to the account (the practitioner must elect one of the two options).  (c) In case of a referral, the referring doctor must submit a letter of motivation to the radiologist or other practitioner doing the scan.  A copy of the letter of motivation must be attached to the first account rendered to the patient (by the radiologist or the other practitioner doing the scan) and must be attached to the first account submitted to the medical scheme by the patient or the doctor, as the case may be.  (d)  In case of a referral to a radiologist, no motivation should be required from the radiologist",,
FF.,"(a) When a cystoscopy precedes a related operation, Modifier 0013: Endoscopic examination done at an operation, applies, e.g. cystoscopy followed by transurethral (TUR) prostatectomy.  (b) When a cystoscopy precedes an unrelated operation, Modifier 0005: Multiple procedures/operations under the same anaesthetic, applies, e.g. cystoscopy for urinary tract infection followed by inguinal hernia repair.  (c) No modifier applies to item 1949: Cystoscopy, when performed together with any of items 1951 to 1973.",,
GG.,"Capturing and recording of examinations: Images from all radiological, ultrasound and magnetic resonance imaging procedures must be captured during every examination and a permanent record generated by means of film, paper, or magnetic media.  A report of the examination, including the findings and diagnostic comment, must be written and stored for five years",,
RR.,"The radiology section in this price list is not for use by registered specialist radiology practices (Pr No ""038"") or nuclear medicine practices (Pr No ""025""), but only for use by other specialist practices or general practitioners.
A separate radiology schedule is for the exclusive use of registered specialist radiology practices (Pr No ""038"") and nuclear medicine practices (Pr No ""025"").",,
XX.,"Diagnostic services rendered to hospital inpatients: Quote Modifier 0091 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients officially admitted to hospital or day clinic",,
YY.,"Diagnostic services rendered to outpatients: Quote Modifier 0092 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients NOT officially admitted to hospital or day clinic (could be within the confines of a hospital)",,
,MODIFIERS GOVERNING THE STRUCTURE,,
0004,"Procedures performed in own procedure rooms: a) Procedures performed in doctors' own procedure rooms instead of in a hospital theatre or unattached theatre unit: as per fee for procedure + 100% (the value of modifier 0004 equals 100% of the value of the procedure performed). b) Modifier 0004 may only be used when the operation/produre units allocated to a single procedure, is higher than 30.00 units. c) Please note: Only the medical practitioner who owns/rents the facility and the equipment may charge modifier 0004. Only one person may claim this modifier for procedures performed in doctors' own procedure rooms. d) Please note that modifier 0004 may not be used in conjuction with modifiers 0074 and 0075.",,
0005,"Multiple therapeutic procedures/operations under the same anaesthetic: a) Unless otherwise identified in the tariff when multiple therapeutic procedures/operations add significant time and/or complexity, and when each procedure/operation is clearly identified and defined, the following values shall prevail:  100% (full value) for the first or major procedure/operation, 75% for the second procedure/operation, 50% for the third procedure/operation, 25% for the fourth and subsequent procedures/operations. This modifier does not apply to purely diagnostic procedures. b) In the case of multiple fractures and/or dislocations the above values shall prevail (refer to modifier 0060 for poly-trauma). c) Diagnostic endoscopic procedures: (i) When purely diagnostic endoscopic procedures or diagnostic endoscopic procedures unrelated to any therapeutic procedures performed, are performed under the same general anaesthetic, Modifier 0005 is not applicable to the fees for such diagnostic endoscopic procedures as the fees for endoscopic procedures do not provide for after-care. Specify unrelated endoscopic procedure and provide diagnosis to indicate diagnostic endoscopic procedure(s) unrelated to other (therapeutic) procedures performed under the same anaesthetic. (ii) Refer to modifier 0013 for related endoscopic examinations done at operations. (iii)Ref to rule FF for governing the urinary system section with regards to cystoscopies only. d)More than one small procedure: Please note: When more than one small procedure is performed and the tariff makes provision for items for ""subsequent"" or ""maximum for multiple additional procedures"" (see Section 2. Integumentary System) Modifier 0005 is not applicable as the fee is already a reduced fee. e)Add on items: P(""+” ) Means that this item is used in addition to another definitive procedure and is therefore not subject to reduction according to Modifier 0005 (see also Modifier 0082). The units of plus (""+"") procedures must not be added to the units of the definitive item and must appear on a separate line on the account. ",,
0006,"Visiting specialists performing procedures:  Where specialists visit smaller centres to perform procedures, fees for these particular procedures are exclusive of after-care. The referring practitioner will then be entitled to subsequent hospital visits for after-care. If the referring practitioner is not available, the specialist shall, on consultation with the patient, choose an appropriate locum tenens. Both the surgeon and the practitioner who handled the after-care, must in such instances quote Modifier 0006 with the particular items which they use",,
0007,"a) Use of own monitoring equipment in the rooms:  Remuneration for the use of any type of own monitoring equipment in the rooms for procedures performed under intravenous sedation - 15,00 clinical procedure units irrespective of the number of items of equipment provided.
b) Use of own equipment in hospital theatre or unattached theatre unit:  Remuneration for the use of any type of own equipment for procedures performed in a hospital theatre or unattached theatre unit when appropriate equipment is not provided by the hospital - 15,00 clinical procedure units irrespective of the number of items of equipment provided.",R289.70,
0008,"Specialist surgeon assistant: The units of the procedure(s) for a specialist surgeon acting as assistant surgeon in procedures of a specialised nature, is 40% of the units for the procedure(s) performed by the specialist surgeon. ",,
0009,"Assistant: The fee for an assistant is 20% of the fee for the specialist surgeon, with a minimum of 36,00 clinical procedure units. The minimum fee payable may not be less than 36,00 clinical procedures units",,
0076,"Assitant paediatric cardiologist: the units for a paediatric cardiologist acting as an assistant, is  40% of the units of the procedure(s) performed. 
Modifier 0076 to be used by paediatric surgeons for any procedures performed on neonates with a birth weight of less than 1000g - in any setting
Modifier 0076 may not be used together with modifier 0008 or modifier 0009 for the same paediatric cardiologist assistant                                        ",,
0010,"Local anaesthesic: (a) A fee for a local anaesthetic administered by the operator may only be charged for (1) an operation or procedure having a value greater than 30,00 clinical procedure units (i.e. 31,00 or more clinical procedure units allocated to a single item) or (2) where more than one operation or procedure is done at the same time with a combined value greater than 50,00 clinical procedure units. (b) The fee shall be calculated according to the basic anaesthetic units for the specific operation. Anaesthetic time may not be charged for, but the minimum fee as per Modifier 0036: Anaesthetic administered by a general practitioner, shall be applicable in such a case. (c) Not applicable to radiological procedures (such as angiography and myelography. (d) No fee may be levied for topical application of local anaesthetic. (e) Please note: Modifier 0010: Local anaesthetic administered by the operator, may not be added on the surgeon’s account for procedures that were performed under general anaesthetic.",,
0011,"Emergency procedures: Any bona fide, justifiable emergency procedure (all hours) undertaken in an operating theatre and/or in another setting in lieu of an operating theatre, will attract an additional 12,00 clinical procedure units per half-hour or part thereof of the operating time for all members of the surgical team. Modifier 0011 does not apply in respect of patients on scheduled lists. (Definition: A medical emergency is any condition where death or irreparable harm to the patient will result if there are undue delays in receiving appropriate medical treatment)",,
0013,"Endoscopic examinations done at operations: Where a related endoscopic examination is done at an operation by the operating surgeon or the attending anaesthesiologist, only 50% of the fee for the endoscopic examination may be charged",,
0014,"Operations previously performed by other surgeons: a) Use modifier 0014(a) for information only as an indicator that the operation was previously performed by another surgeon. b) Where an operation is performed which has been previously performed by another surgeon, e.g. a revision or repeat operation, the units shall be calculated according to the units for the full operation plus an additional units to be negotiated under general Rule J: In exceptional cases where the units is disproportionately low in relation to actual service rendered, except where already specified in the structure.",,
0015,"Intravenous infusions: Where intravenous infusions (including blood and blood cellular products) are administered as part of the after-treatment after the operation or confinement, no extra fees shall be charged as this is included in the global operative or maternity fees.  Should the practitioner doing the operation or attending to the maternity case prefer to ask another practitioner to perform post-operative or post-confinement intravenous infusions, then the practitioner himself (and not the patient) shall be responsible for remunerating such practitioner for the infusions",,
0016,Procedures performed on neonates with a weight of less than 1000g: ADD 50% of the units for the procedure(s) performed (only to be used by paediatric surgeons) Modifier 0016 may be used in conjunction modifier 0019(a) when appropriate,,
0017,"Injections or flu vaccinations administered by the medical doctor: When desensitisation, intravenous, intramuscular or subcutaneous injections or flu vaccinations are administered by the medical doctor him-/herself to patients who attend the consulting rooms, a first injection forms part of the consultation/visit and only all subsequent injections as part of a planned series of injection for the same condition should be charged according to item 0131 (not chargeable together with a consultation item)",,
0018,Surgical modifier for persons with a BMI of 35> (calculated according to kg/m2): Fee for procedure +50% for surgeons and a 50% increase in anaesthetic time units for anaesthesiologists,,
0019,a)    Surgery on neonates OR low birth weight infants (less than 2 500g) under general anaesthesia (excluding circumcision): Units for procedure + 50% of units for procedure performed for surgeons and a 50% increase in anaesthetic time units for anaesthesiologists/anaesthetist.Modififier 0016 may be added to the modifier 0019(a)  when appropriate. ,,
0060,"Musculo-Skeletal poly trauma: Signficant injury to more than one musculo-skeletal system. Examples: two long bone fractures, or a long bone fracture or a pelvic fracture, or a long bone fracture and a spinal fracture,  or any fracture plus a signifcant injury to a separate joint, or multiple fractures to a single long bone as in the femur where a proximal and a distal femur fracture are present which neccesitates two different surgical approaches and fixation methods, or multiple small bone fractures of the hand or feet as in a crush injury plus any other major musculo-skeletal injury. (Modifier 0005 is not applicable in poly-trauma where 100% of the units for all procedures are applicable - (see modifier 0060) 
Poly-trauma would be, by defination, a significant ijury to one or more musculo-skeletal systems
● Two long bone fractures                                                                                                                
● Long bone fracture and hip                                                                                                          
● Long bone fracture and spinal fracture                                                                                 
●Any fracture plus a signifcant injury to a separate joint                                                     
●Multiple fractures to a single bone, eg. femur where a proximal and distal fracture is present which necessitates two different surgical approaches and fixation methods.                                  
●Multiple small bone fractures of the hand or feet, eg. crush injuries plus any other musculo-skeletal injuries",,
0046,"Where in the treatment of a specific fracture or dislocation (compound or closed) an initial procedure is followed within one month by an open reduction, internal fixation, external skeletal fixation or bone grafting on the same bone, the fee for the initial treatment of that fracture or dislocation shall be reduced by 50%.   Please note:  This reduction does not include the assistant’s fee where applicable.  After one month, a full fee as for the initial treatment, is applicable",,
0047,A fracture NOT requiring reduction shall be charged on a fee per service basis,,
0048,"Where in the treatment of a fracture or dislocation, an initial closed reduction is followed within one month by further closed reductions under general anaesthesia, the fee for such subsequent reductions will be 27,00 clinical procedure units (not including after-care)",R521.50,
0049,"Except where otherwise specified, in cases of compound fractures, 77,00 clinical procedure units (specialists) and 77,00 clinical procedure units (general practitioners) are to be added to the units for the fractures including debridement","R1,487.00",
0050,"In cases of a compound fracture where a debridement is followed by internal fixation (excluding fixation with Kirschner wires, as well as  fractures of hands and feet), the full amount according to either Modifier 0049:  Cases of compound fractures, or Modifier 0051:  Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting, may be added to the fee for the procedure involved, plus half of the amount according to the second modifier (either Modifier 0049: Cases of compound fractures or Modifier 0051: Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting, as applicable) ","R2,230.10",
0051,"Fractures requiring open reduction, internal fixation, external skeletal fixation and/or bone grafting: Specialists add 77,00 clinical procedure units. General practitioners add 77,00 clinical procedure units","R1,487.00",
0052,"Except where otherwise specified, fracture (traumatic or surgical, i.e.. osteotomy) requiring open reduction and/or internal fixation, external skeletal fixation/and or bone grafting (excluding fixation with Kirschner wires (refer to modifier 0053), as well as long bone or pelvis fracture/osteotomy (refer to modifier 0051) for specialist and general practitioners for HAND or FOOT fracture/osteotomy: Add the appropriate procedure code","R1,565.60",
0053,"Fracture requiring percutaneous internal fixation [insertion and removal of fixatives (wires) in respect of fingers and toes included]: Specialists and general practitioners add 32,00 clinical procedure units",R618.00,
0055,"Dislocation requiring open reduction: Units for the specific joint plus 77,00 clinical procedure units for specialists. General practitioners add 77,00 clinical procedure units","R1,487.00",
0057,"Multiple procedures on feet: In multiple procedures on feet, fees for the first foot are calculated according to Modifier 0005: Multiple procedures/operations under the same anaesthetic. Calculate fees for the second foot in the same way, reduce the total to 75% and add to the total for the first foot",,
0058,Revision operation for total joint replacement and immediate re-substitution (infected or non-infected): Units as for the procedure(s) + 100% of the units as for the total revision procedure (the units for modifier 0058 equals 100% of the procedure(s) performed plus appropriate modifiers),,
0061,"Combined procedures on the spine: In cases of combined procedures on the spine, both the orthopaedic surgeon and the neurosurgeon are entitled to the full units for the relevant part of the operation performed. Each surgeon may charge an assistant fee for the the procedures performed by the other surgeon, at general practitioner rate (refer to modifier 0009)",,
0063,"Where two specialists work together on a replantation procedure, each shall be entitled to two-thirds of the fee for the procedure",,
0064,"Where the replantation is unsuccessful, no further surgical fee is payable for amputation of the non-viable parts",,
0065,"Additional operative procedures by same surgeon, under section 3.8.6: Spinal deformities, within a period of 12 months: 75% of scheduled fee for the lesser procedure, except where otherwise specified elsewhere",,
0066,"Microsurgery of the fallopian-tubes and ovaries: Where micro-surgical techniques are used, with the aid of a microscope, 25% may be added to the fee",,
0067,"Microsurgery of the larynx: Add 25% to the fee of the operation performed (òFor other operations requiring the use of an operation microscope, the fee include the use of the microscope, except where otherwise specified elsewhare in the Tariff)",,
0069,"When endoscopic instruments are used during intranasal surgery: Add 10% of the fee of the procedure performed. Only applicable to items 1025, 1027, 1030, 1033, 1035, 1036, 1039, 1047, 1054 and 1083",,
0070,"Add 45,00 clinical procedure units to procedure(s) performed through a thorascope","R1,129.90",
0072,Non invasive peripheral vascular tests: The number of tests in a single case is restricted to two (2) per diagnosis. Tests are not justified in cases of uncomplicated varicose veins,,
0073,When item 1288 (Cardiac catheterisation for congenital heart disease: All ages above 1 year old) or item 1289 (Paediatric cardiac catheterisation: Infants below the age of one year) is performed by paediatric cardiologists (‘33’): fee for procedure + 100%,,
0074,"Endoscopic procedures performed with own equipment: The basic procedure fee plus 33.33% (1/3) of that fee (""+"" codes excluded) will apply where endoscopic procedures are performed with own equipment.",,
0075,"Endoscopic procedures performed in own procedure room: (a) The value of modifier 0075 = 21,00 clinical procedure units, where endoscopic procedures are performed in rooms. (b) This fee is chargeable by medical practitioners who own or rent the facility. (c) Modifier 0075 may not be used in conjunction with modifier 0004. (d) Please note: Modifier 0075 is not applicable to any of the items for diagnostic procedures in the otorhinolaryngology sections of the structure.",,
0077,"Physical treatment: When two separate areas are treated simultaneously for totally different conditions, such treatment shall be regarded as two treatments for which separate fees may be charged. (Only applicable if services are provided by a specialist in physical medicine)",,
0078,"When a testis biopsy is done combined with vasogram or seminal vesiculogram or epididymogram, add 50% of the units for the appropriate procedure",,
0079,"When a first or follow-up consultation/visit proceeds into or is immediately followed by a medical psychotherapeutic procedure, both the consultation/visit and the psychotherapy codes (items 2957, 2974 or 2975) may be coded. Please note: When adding psychotherpay items after a first or follow-up consultation the clinician must ensure that the time stipulated for the psychotherapy items are adhered to ( ie. item 2957 - minimum 10 minutes, item 2974 - minimum 30 minutes, and item 2975 - minimum 50 minutes)",,
0080,Multiple examinations: Full Fee,,
0081,Repeat examinations: No reduction,,
0082,"Plus “+” Means that this item is complementary to a preceding item and is therefore not subject to reduction. The procedures marked with ""+"" must not be added to the units for the definitive item and must appear on a separate line on the account.",,
0083,"A reduction of 33,33% (1/3) in the fee will apply to radiological examinations as indicated in section 19: Radiology where hospital equipment is used",,
0084,"Charging for films and thermal paper by non-radiologist: in the case of radiological services rendered by non-radiologists where films, thermal paper or magnetic media are used, these media is charged for according to the film price of 2007, as compiled by the Radiological Society of South Africa (this list is available on request at radsoc@iafrica.com)",,
0085,Left Side' modifier to be added to when items 6500 to 6519 are used when the left side is examined. Please note that the absence of this modifier indicates that the right side was examined,,
0086,Vascular groups: “Film series” and “Introduction of Contrast Media” are complementary and together constitute a single examination: neither fee is therefore subject to increase in terms of Modifier 0080: Multiple examinations,,
0090,"Doctor's remuneration for participation in a team: 30,00 radiology units per ½ hour or part thereof for all interventional radiological procedures, excluding any pre- or post-operative angiography, catheterisation, CT-scanning, ultrasound-scanning or x-ray procedures. (Only to be charged if radiologist is hands-on, and not for interpretation of images only)",,
0091,"Diagnostic services rendered to hospital inpatients: Quote Modifier 0091 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients officially admitted to hospital or day clinic (refer to Rule XX)",,
0092,"Diagnostic services rendered to outpatients: Quote Modifier 0092 on all accounts for diagnostic services (e.g. MRI, X-rays, pathology tests) performed on patients NOT officially admitted to hospital or day clinic (could be within the confines of a hospital) (refer to Rule YY)",,
0095,"Radiation materials: Exclusively for use where radiation materials supplied by the practice are used by clinical and radiation oncologists, modifier 0095 should be used to identify these materials. A material code list with descriptions and guideline costs for these materials, maintained and updated on a regular basis, is available from the Society of Clinical and Radiation Oncology.  This modifier is only chargeable by the practice responsible for the cost of this material and where the hospital did not charge therefore. Please note that item 0198 and item 0201 should not be used for these materials",,
0096,Radio-isotope therapy patients who fail to keep their appointments: Fee will include cost of isotope,,
0097,"Pathology tests performed by non-pathologists: Where items under Clinical Pathology (section 21) and Anatomical Pathology (section 22) fall within the province of other specialists or general practitioners, the fee is to be charged at two-thirds of the pathologists fee",,
0099,"Stat basis tests: For tests performed on a stat basis, an additional premium of 50% of the units for the particular pathology service shall apply, with the following provisos: 
o Stat test requesting may only be done by the referring practitioner and not by the pathologist. 
o Specimens must be collected on a stat basis where applicable. 
o Test must be performed on a stat basis. 
o Documentation (or a copy thereof) relating to the request of the referring practitioner must be retained. 
o This modifier will only apply during normal working hours and will never be used in combination with item 4547: After-hours service. ",,
0160,Aspiration of biopsy procedure performed under direct ultrasound control by an ultrasound aspiration biopsy transducer (Static Realtime): Fee for part examined plus 30% of the units,,
0165,Use of contrast during ultrasound study: add 6.00 ultrasound units,,
5104,"Ultrasound in pregnancy, multiple gestation, add 100% per additional foetus.",,
6106,"Where a magnetic resonance angiography (MRA) of large vessels is performed as primary examination, 100% of the fee is applicable. This modifier is only applicable if the series is performed by use of a recognised angiographic software package with reconstruction capability",,
6107,"Where a magnetic resonance angiography (MRA) of the vessels is performed additional to an examination of a particular region, 50% of the fee is applicable for the angiography. This modifier is only applicable if the series is performed by use of a recognised angiographic software package with reconstruction capability",,
6108,"Where only a gradient echo series is performed with a machine without a recognised angiographic software package with reconstruction ability, 20% of the full fee is applicable specifying that it is a “flow sensitive series”",,
6300,"If a procedure lasts less than 30 minutes, only 50% of the machine fees for items 3536-3550 will be allowed (specify time of procedure on account)",,
6302,"When the procedure is performed by a non-radiologist, the fee will be reduced by 40% (i.e. 60% of the fee will be charged)",,
